Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",77.519000,-105.728260,0.000000,top
"C2","10uF","C_0603_1608Metric",84.569000,-105.728260,0.000000,top
"C3","10uF","C_0603_1608Metric",91.569000,-105.728260,0.000000,top
"C4","1nF","C_0603_1608Metric",148.644000,-105.103260,-90.000000,top
"C5","100nF","C_0805_2012Metric",53.750000,-86.400000,0.000000,top
"C6","100n","C_0603_1608Metric",147.869000,-111.378260,90.000000,top
"C7","100n","C_0603_1608Metric",103.369000,-101.028260,180.000000,top
"C8","10uF","C_0603_1608Metric",87.819000,-119.378260,0.000000,top
"C9","10uF","C_0603_1608Metric",84.800000,-120.930000,180.000000,top
"C10","10uF","C_0603_1608Metric",87.819000,-120.928260,0.000000,top
"C11","10uF","C_0603_1608Metric",77.369000,-119.378260,0.000000,top
"C12","10uF","C_0603_1608Metric",80.419000,-120.928260,0.000000,top
"C13","10uF","C_0603_1608Metric",77.369000,-120.928260,0.000000,top
"C14","1nF","C_0603_1608Metric",139.969000,-107.528260,90.000000,top
"C15","1nF","C_0603_1608Metric",141.519000,-107.528260,90.000000,top
"C16","1nF","C_0603_1608Metric",143.069000,-107.528260,90.000000,top
"C17","1nF","C_0603_1608Metric",139.069000,-111.278260,90.000000,top
"C18","100n","C_0603_1608Metric",113.719000,-101.978260,-90.000000,top
"C19","1nF","C_0603_1608Metric",148.644000,-102.003260,-90.000000,top
"C20","100n","C_0603_1608Metric",121.869000,-108.528260,0.000000,top
"C21","100n","C_0603_1608Metric",136.369000,-105.028260,180.000000,top
"C22","1nF","C_0603_1608Metric",130.569000,-101.828260,-90.000000,top
"C23","1nF","C_0603_1608Metric",127.369000,-101.828260,-90.000000,top
"C24","1nF","C_0603_1608Metric",109.070000,-106.270000,90.000000,top
"C25","1nF","C_0603_1608Metric",105.819000,-111.278260,90.000000,top
"C26","100n","C_0603_1608Metric",81.919000,-110.878260,-90.000000,top
"C27","100n","C_0603_1608Metric",88.919000,-110.853260,-90.000000,top
"C28","100n","C_0603_1608Metric",95.919000,-110.828260,-90.000000,top
"C29","47pF","C_0603_1608Metric",102.306500,-112.078260,0.000000,top
"C30","47pF","C_0603_1608Metric",102.306500,-107.578260,0.000000,top
"C31","47pF","C_0603_1608Metric",99.306500,-105.278260,180.000000,top
"CS1","C","C_0805_2012Metric",81.300000,-81.000000,180.000000,top
"CS2","C","C_0805_2012Metric",114.800000,-81.000000,180.000000,top
"CS3","C","C_0805_2012Metric",144.940000,-82.970000,0.000000,top
"CX1","470uF","CAP_Polarized_SMD",51.000000,-54.500000,0.000000,top
"CX2","470uF","CAP_Polarized_SMD",82.500000,-54.500000,0.000000,top
"CX3","470uF","CAP_Polarized_SMD",114.495000,-54.500000,0.000000,top
"CX4","470uF","CAP_Polarized_SMD_simple",145.000000,-55.000000,0.000000,top
"CX11","4.7uF","C_1210_3225Metric",52.450000,-74.650000,-90.000000,top
"CX12","4.7uF","C_1210_3225Metric",86.750000,-74.550000,-90.000000,top
"CX13","4.7uF","C_1210_3225Metric",83.500000,-74.550000,-90.000000,top
"CX14","4.7uF","C_1210_3225Metric",119.600000,-74.500000,-90.000000,top
"CX15","4.7uF","C_1210_3225Metric",116.350000,-74.500000,-90.000000,top
"CX16","4.7uF","C_1210_3225Metric",148.400000,-74.900000,-90.000000,top
"CX17","47uF","CAP_Polaryzed",51.200000,-88.500000,90.000000,top
"D1","SM4007","D_SOD-123",78.419000,-107.678260,0.000000,top
"D2","SM4007","D_SOD-123",85.419000,-107.678260,0.000000,top
"D3","SM4007","D_SOD-123",92.469000,-107.678260,0.000000,top
"D4","D_Small","D_SOD-323",109.469000,-109.628260,90.000000,top
"D5","D_Small","D_SOD-323",128.069000,-104.928260,90.000000,top
"D6","D_Small","D_SOD-323",130.069000,-104.928260,90.000000,top
"J1","Conn_01x04","JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical",97.769000,-119.628260,180.000000,top
"J2","Conn_01x06","JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical",131.419000,-119.628260,180.000000,top
"J3","Conn_01x06","JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical",147.169000,-119.628260,180.000000,top
"J4","Conn_01x06","JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical",113.219000,-119.628260,180.000000,top
"NTC1","Conn_01x02","R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",133.914000,-108.678260,0.000000,top
"R1","2R2","R_0805_2012Metric",51.000000,-85.700000,90.000000,top
"R2","2k2","R_0603_1608Metric",131.669000,-108.290760,90.000000,top
"R3","1M","R_0805_2012Metric",149.000000,-88.200000,90.000000,top
"R4","33k","R_0603_1608Metric",147.144000,-105.103260,90.000000,top
"R5","100k","R_0805_2012Metric",99.106500,-110.778260,180.000000,top
"R6","3k3","R_0603_1608Metric",102.306500,-110.578260,180.000000,top
"R7","100k","R_0805_2012Metric",99.106500,-108.878260,180.000000,top
"R8","3k3","R_0603_1608Metric",102.306500,-109.078260,180.000000,top
"R9","2k2","R_0603_1608Metric",130.169000,-108.290760,-90.000000,top
"R10","100k","R_0805_2012Metric",99.106500,-106.978260,180.000000,top
"R11","3k3","R_0603_1608Metric",102.306500,-106.078260,180.000000,top
"R12","10k","R_0603_1608Metric",138.419000,-107.528260,-90.000000,top
"R13","2k2","R_0603_1608Metric",117.319000,-120.478260,180.000000,top
"R14","1M","R_0805_2012Metric",147.100000,-88.200000,90.000000,top
"R15","33k","R_0603_1608Metric",147.144000,-102.003260,90.000000,top
"R16","1k","R_0603_1608Metric",103.519000,-103.278260,90.000000,top
"R17","8k2","R_0603_1608Metric",105.819000,-106.278260,90.000000,top
"R18","47k","R_0603_1608Metric",126.469000,-109.228260,0.000000,top
"R19","2k2","R_0603_1608Metric",123.469000,-110.428260,0.000000,top
"R20","2k2","R_0603_1608Metric",123.469000,-112.028260,0.000000,top
"R21","47k","R_0603_1608Metric",126.469000,-107.728260,0.000000,top
"R22","2k2","R_0603_1608Metric",123.369000,-106.628260,0.000000,top
"R23","2k2","R_0603_1608Metric",123.369000,-105.028260,0.000000,top
"R24","47k","R_0603_1608Metric",105.019000,-103.278260,90.000000,top
"R25","2k2","R_0603_1608Metric",106.519000,-103.278260,90.000000,top
"R26","2k2","R_0603_1608Metric",108.019000,-103.290000,90.000000,top
"R27","10k","R_0603_1608Metric",107.319000,-106.278260,90.000000,top
"R29","220k","R_0603_1608Metric",111.069000,-112.028260,180.000000,top
"R30","22k","R_0603_1608Metric",121.069000,-111.228260,-90.000000,top
"R31","22k","R_0603_1608Metric",121.069000,-105.828260,90.000000,top
"R32","22k","R_0603_1608Metric",112.080000,-106.270000,90.000000,top
"R33","R150","R_0603_1608Metric",128.969000,-101.828260,90.000000,top
"R34","R150","R_0603_1608Metric",125.769000,-101.828260,90.000000,top
"R35","R150","R_0603_1608Metric",110.570000,-106.270000,-90.000000,top
"R36","R150","R_0603_1608Metric",108.069000,-112.028260,180.000000,top
"R47","1M","R_0603_1608Metric",61.500000,-70.000000,0.000000,top
"R48","1M","R_0603_1608Metric",61.500000,-78.500000,180.000000,top
"R49","1M","R_0603_1608Metric",105.500000,-70.200000,0.000000,top
"R50","1M","R_0603_1608Metric",105.000000,-78.500000,180.000000,top
"R51","1M","R_0603_1608Metric",138.500000,-70.000000,0.000000,top
"R52","1M","R_0603_1608Metric",138.500000,-78.500000,180.000000,top
"RG1","4R7","R_0603_1608Metric",80.569000,-105.728260,180.000000,top
"RG2","4R7","R_0603_1608Metric",81.919000,-114.228260,-90.000000,top
"RG3","4R7","R_0603_1608Metric",87.619000,-105.728260,180.000000,top
"RG4","4R7","R_0603_1608Metric",88.919000,-114.228260,-90.000000,top
"RG5","4R7","R_0603_1608Metric",94.619000,-105.728260,180.000000,top
"RG6","4R7","R_0603_1608Metric",95.919000,-114.328260,-90.000000,top
"RN1","10k","R_Array_Concave_4x0603",141.519000,-110.928260,0.000000,top
"RN2","100R","R_Array_Concave_4x0603",117.319000,-117.778260,180.000000,top
"RN3","100R","R_Array_Concave_4x0603",134.569000,-111.328260,-90.000000,top
"RN4","10k","R_Array_Concave_4x0603",145.369000,-110.928260,180.000000,top
"RN5","620R","R_Array_Concave_4x0603",130.569000,-111.340760,90.000000,top
"RS1","R","R_0805_2012Metric",77.900000,-81.000000,180.000000,top
"RS2","R","R_0805_2012Metric",111.400000,-81.000000,180.000000,top
"RS3","R","R_0805_2012Metric",144.930000,-81.000000,180.000000,top
"SHA1","1mR","R_2512_6332Metric",56.000000,-83.000000,135.000000,top
"SHA2","1mR","R_2512_6332Metric",72.000000,-83.000000,45.000000,top
"SHA3","1mR","R_2512_6332Metric",64.000000,-83.500000,90.000000,top
"SHB1","1mR","R_2512_6332Metric",105.500000,-83.000000,45.000000,top
"SHB2","1mR","R_2512_6332Metric",97.500000,-83.500000,90.000000,top
"SHB3","1mR","R_2512_6332Metric",89.500000,-83.000000,135.000000,top
"SHC1","1mR","R_2512_6332Metric",138.500000,-83.094804,45.000000,top
"SHC2","1mR","R_2512_6332Metric",123.000000,-83.094804,135.000000,top
"SHC3","1mR","R_2512_6332Metric",130.450000,-83.512500,90.000000,top
"SW1","Conn_01x02","R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",50.900000,-83.405000,90.000000,top
"U1","NCP5183 / TF2190-TAH","SOIC-8_3.9x4.9mm_P1.27mm",78.419000,-112.578260,90.000000,top
"U2","NCP5183 / TF2190-TAH","SOIC-8_3.9x4.9mm_P1.27mm",85.419000,-112.578260,90.000000,top
"U3","NCP5183 / TF2190-TAH","SOIC-8_3.9x4.9mm_P1.27mm",92.419000,-112.578260,90.000000,top
"U4","NCS20034DR2G","SOIC-14_3.9x8.7mm_P1.27mm",116.619000,-108.278260,180.000000,top
"U5","STM32F401CCU6_Balckpill","Blackpill_STM32F401CEU6",96.529000,-118.078260,90.000000,top
"U6","PQDE6W-Q110","PQDE6W",50.114000,-96.573260,0.000000,top
"U7","TO220_replacement_module","TO220_replacement_module",77.624000,-116.583260,0.000000,top
"U8","TO220_replacement_module","TO220_replacement_module",57.319000,-110.878260,-90.000000,top
